,HepG2_xenograft_CTL_1,HepG2_xenograft_CTL_2,HepG2_xenograft_CTL_3,HepG2_xenograft_CTL_4,HepG2_xenograft_CTL_5,HepG2_xenograft_DKD_1,HepG2_xenograft_DKD_2,HepG2_xenograft_DKD_3,HepG2_xenograft_DKD_4,HepG2_xenograft_DKD_5
TREML3P,0,0,0,0,0,0,0,0,0,0
TREML4,0,0,0,0,0,0,0,0,0,0
TREML5P,0,0,0,0,0,0,0,0,0,0
TRERF1,8.759337541,3.036072776,15.54068658,12.4184816,5.102635299,0.995841803,8.631765097,2.906376393,1.980740698,0
TREX1,11.67911672,14.16833962,0,27.94158359,18.36948708,0,0,17.43825836,13.86518488,0
TREX2,4.866298634,4.048097035,3.108137317,4.139493865,3.061581179,9.958418027,5.754510064,6.781544916,7.922962791,7.705484837
TRGC1,0,0,0,0,0,0,0,0,0,0
TRGC2,0,0,0,0,0,0,0,0,0,0
TRGJ1,0,0,0,0,0,0,0,0,0,0
TRGJP,0,0,0,0,0,0,0,0,0,0
TRGJP1,0,0,0,0,0,0,0,0,0,0
TRGJP2,0,0,0,0,0,0,0,0,0,0
TRGV1,0,0,0,0,0,0,0,0,0,0
TRGV10,0,0,0,0,0,0,0,0,0,0
TRGV11,0,0,0,0,0,0,0,0,0,0
TRGV2,0,0,0,0,0,0,0,0,0,0
TRGV3,0,0,0,0,0,0,0,0,0,0
TRGV4,0,0,0,0,0,0,0,0,0,0
TRGV5,0,0,0,0,0,0,0,0,0,0
TRGV5P,0,0,0,0,0,0,0,0,0,0
TRGV6,0,0,0,0,0,0,0,0,0,0
TRGV7,0,0,0,0,0,0,0,0,0,0
TRGV8,0,0,0,0,0,0,0,0,0,0
TRGV9,0,0,0,0,0,0,0,0,0,0
TRGVA,0,0,0,0,0,0,0,0,0,0
TRGVB,0,0,0,0,0,0,0,0,0,0
TRH,0.973259727,2.024048518,0,0,0,0,0,0,0,0.963185605
TRHDE,0.973259727,3.036072776,0,5.174367331,0,0.995841803,0.959085011,4.843960654,0.990370349,2.889556814
TRHR,0.973259727,0,0,0,0,0,0,0,0,0
TRIAP1,1875.471493,2288.186849,2252.363509,2276.721626,2389.053847,1902.057843,2193.42742,2104.216508,2092.652547,1929.260766
TRIAP1P1,0,0,0,0,0,0,0,0,0,0
TRIB1,1411.226604,1726.513385,2064.839224,1322.56829,1494.051616,1556.500738,1360.94163,1226.490838,1452.873302,2307.792709
